variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holeless_control,det_sparse,0,0,0,2,393,9,0.38,0.42
holeless_control,det_sparse,1,0,0,1,102,8,0.38,0.4
holeless_control,det_sparse,2,0,0,3,537,4,0.4,0.37
holeless_control,det_sparse,3,0,0,1,168,2,0.36,0.41
holeless_control,det_sparse,4,0,0,1,81,2,0.36,0.39
holeless_control,det_sparse,5,0,0,2,235,1,0.42,0.39
holeless_control,det_sparse,6,0,0,3,569,6,0.48,0.45
holeless_control,det_sparse,7,0,0,2,329,3,0.38,0.36
holeless_control,det_sparse,8,0,0,3,529,3,0.28,0.38
holeless_control,det_sparse,9,0,0,2,360,3,0.38,0.37
holeless_control,det_sparse,10,0,0,1,69,4,0.34,0.4
holeless_control,det_sparse,11,0,0,1,118,1,0.4,0.39
holeless_control,det_sparse,12,0,0,4,725,1,0.42,0.46
holeless_control,det_sparse,13,0,0,1,58,2,0.44,0.41
holeless_control,det_sparse,14,0,0,2,383,1,0.34,0.35
holeless_control,det_sparse,15,0,0,2,266,6,0.3,0.38
holeless_control,det_sparse,16,0,0,2,343,2,0.34,0.37
holeless_control,det_sparse,17,0,0,1,81,1,0.34,0.41
holeless_control,det_sparse,18,0,0,2,298,2,0.42,0.42
holeless_control,det_sparse,19,0,0,1,90,4,0.42,0.38
holeless_control,det_sparse,20,0,0,1,61,7,0.34,0.38
holeless_control,det_sparse,21,0,0,1,59,1,0.38,0.39
holeless_control,det_sparse,22,0,0,10,1866,1,0.38,0.43
holeless_control,det_sparse,23,0,0,2,262,1,0.52,0.47
holeless_control,det_sparse,24,0,0,1,76,6,0.3,0.33
holeless_control,det_sparse,25,0,0,1,32,3,0.38,0.41
holeless_control,det_sparse,26,0,0,1,101,3,0.36,0.37
holeless_control,det_sparse,27,0,0,1,131,4,0.42,0.42
holeless_control,det_sparse,28,0,0,3,451,4,0.54,0.51
holeless_control,det_sparse,29,0,0,1,159,2,0.26,0.34
holeless_control,det_sparse,30,0,0,3,586,10,0.32,0.4
holeless_control,det_sparse,31,0,0,3,590,7,0.28,0.42
holeless_control,det_sparse,32,0,0,4,694,1,0.4,0.37
holeless_control,det_sparse,33,0,0,1,154,2,0.32,0.36
holeless_control,det_sparse,34,0,0,2,255,7,0.3,0.38
holeless_control,det_sparse,35,0,0,1,107,1,0.32,0.37
holeless_control,det_sparse,36,0,0,1,181,2,0.36,0.38
holeless_control,det_sparse,37,0,0,4,797,2,0.44,0.45
holeless_control,det_sparse,38,0,0,5,985,1,0.44,0.39
holeless_control,det_sparse,39,0,0,3,551,6,0.34,0.34
holeless_control,det_sparse,40,0,0,10,1892,5,0.38,0.37
holeless_control,det_sparse,41,0,0,4,711,3,0.34,0.39
holeless_control,det_sparse,42,0,0,3,595,1,0.52,0.41
holeless_control,det_sparse,43,0,0,1,80,1,0.48,0.48
holeless_control,det_sparse,44,0,0,1,109,1,0.36,0.39
holeless_control,det_sparse,45,0,0,11,2115,3,0.38,0.37
holeless_control,det_sparse,46,0,0,1,59,1,0.46,0.49
holeless_control,det_sparse,47,0,0,2,268,1,0.4,0.35
holeless_control,det_sparse,48,0,0,4,636,2,0.36,0.43
holeless_control,det_sparse,49,0,0,7,1317,5,0.4,0.39
holeless_control,det_sparse,50,0,0,2,334,2,0.48,0.43
holeless_control,det_sparse,51,0,0,2,375,5,0.44,0.43
holeless_control,det_sparse,52,0,0,4,656,3,0.4,0.4
holeless_control,det_sparse,53,0,0,2,279,4,0.48,0.43
holeless_control,det_sparse,54,0,0,1,64,3,0.4,0.42
holeless_control,det_sparse,55,0,0,2,297,1,0.48,0.52
holeless_control,det_sparse,56,0,0,2,318,5,0.38,0.36
holeless_control,det_sparse,57,0,0,5,929,2,0.32,0.41
holeless_control,det_sparse,58,0,0,4,724,2,0.48,0.46
holeless_control,det_sparse,59,0,0,2,352,1,0.38,0.41
holeless_control,det_sparse,60,0,0,4,696,1,0.4,0.43
holeless_control,det_sparse,61,0,0,10,1899,2,0.5,0.57
holeless_control,det_sparse,62,0,0,1,77,1,0.38,0.39
holeless_control,det_sparse,63,0,0,2,369,1,0.44,0.45
holeless_control,det_sparse,64,0,0,2,374,1,0.42,0.47
holeless_control,det_sparse,65,0,0,2,316,1,0.36,0.39
holeless_control,det_sparse,66,0,0,4,731,1,0.5,0.49
holeless_control,det_sparse,67,0,0,1,170,5,0.32,0.35
holeless_control,det_sparse,68,0,0,2,380,3,0.48,0.42
holeless_control,det_sparse,69,0,0,2,277,1,0.3,0.32
holeless_control,det_sparse,70,0,0,7,1307,2,0.4,0.43
