episode,det_sparse_success_rate,det_dense_success_rate,stoch_sparse_success_rate,stoch_dense_success_rate,det_sparse_success_rate_ma,det_dense_success_rate_ma,stoch_sparse_success_rate_ma,stoch_dense_success_rate_ma,det_sparse_avg_episode_length,det_dense_avg_episode_length,stoch_sparse_avg_episode_length,stoch_dense_avg_episode_length
1,0.03,0.03,0.01,0.01,0.0047,0.0046,0.005299999999999999,0.005,198.16,198.16,199.34,199.34
2,0.0,0.0,0.0,0.0,0.00475,0.00475,0.005349999999999999,0.0051,200.0,200.0,200.0,200.0
3,0.0,0.0,0.0,0.0,0.00475,0.0048,0.005449999999999999,0.00515,200.0,200.0,200.0,200.0
4,0.02,0.02,0.0,0.0,0.00475,0.004849999999999999,0.005449999999999999,0.00515,198.07,198.07,200.0,200.0
5,0.0,0.0,0.0,0.0,0.00475,0.004899999999999999,0.005599999999999999,0.00515,200.0,200.0,200.0,200.0
6,0.0,0.0,0.02,0.02,0.00475,0.004899999999999999,0.005649999999999999,0.00515,200.0,200.0,198.03,198.03
7,0.01,0.01,0.01,0.02,0.00485,0.004949999999999999,0.005649999999999999,0.0052,198.56,198.56,198.81,198.22
8,0.02,0.01,0.0,0.0,0.00485,0.004949999999999999,0.0056999999999999985,0.0053,198.28,199.3,200.0,200.0
9,0.01,0.0,0.0,0.01,0.00485,0.004999999999999998,0.005799999999999999,0.0053,199.0,200.0,200.0,198.81
10,0.0,0.0,0.01,0.01,0.00495,0.005099999999999999,0.005849999999999998,0.0054,200.0,200.0,198.72,198.72
11,0.0,0.0,0.0,0.0,0.005050000000000001,0.005199999999999999,0.005849999999999998,0.0055000000000000005,200.0,200.0,200.0,200.0
12,0.01,0.02,0.03,0.01,0.0051,0.005199999999999999,0.005899999999999998,0.0055000000000000005,198.95,198.43,197.03,199.81
13,0.0,0.0,0.0,0.01,0.0052,0.00525,0.00595,0.005600000000000001,200.0,200.0,200.0,198.94
14,0.01,0.01,0.02,0.02,0.0052,0.0053,0.006,0.005600000000000001,198.68,198.69,199.12,198.42
15,0.01,0.0,0.0,0.01,0.0053,0.00545,0.00605,0.0056500000000000005,199.52,200.0,200.0,199.01
16,0.0,0.0,0.01,0.0,0.0053,0.0055,0.00605,0.0056500000000000005,200.0,200.0,199.27,200.0
17,0.01,0.01,0.0,0.01,0.0053,0.0055,0.00615,0.0056500000000000005,199.68,199.7,200.0,199.85
18,0.01,0.03,0.0,0.0,0.00535,0.005549999999999999,0.0062,0.0057,198.38,197.01,200.0,200.0
19,0.01,0.01,0.01,0.01,0.00535,0.005699999999999999,0.0063,0.0057,198.37,199.1,199.81,199.45
20,0.01,0.0,0.03,0.0,0.005399999999999999,0.0058,0.00635,0.0057,199.18,200.0,197.14,200.0
21,0.0,0.02,0.01,0.02,0.0055,0.005849999999999999,0.0063999999999999994,0.0058000000000000005,200.0,197.75,198.45,197.57
22,0.0,0.0,0.03,0.0,0.0056,0.005999999999999999,0.006449999999999999,0.00585,200.0,200.0,198.67,200.0
23,0.01,0.0,0.01,0.02,0.0056,0.0060999999999999995,0.006449999999999999,0.0059,198.88,200.0,198.84,197.82
24,0.01,0.01,0.01,0.0,0.0057,0.00635,0.006599999999999999,0.0059499999999999996,199.73,199.75,199.05,200.0
25,0.01,0.0,0.01,0.02,0.0058000000000000005,0.0063999999999999994,0.006649999999999999,0.00605,199.54,200.0,198.46,198.99
26,0.0,0.01,0.02,0.01,0.00585,0.006449999999999999,0.006649999999999999,0.00615,200.0,199.19,198.48,198.71
27,0.01,0.01,0.01,0.0,0.0059,0.006449999999999999,0.0066999999999999985,0.00615,199.34,198.96,198.92,200.0
28,0.01,0.0,0.0,0.01,0.0059,0.006499999999999999,0.006749999999999998,0.00615,199.37,200.0,200.0,198.74
29,0.0,0.0,0.01,0.02,0.00605,0.006750000000000001,0.006750000000000001,0.006200000000000001,200.0,200.0,198.64,196.95
30,0.02,0.01,0.02,0.03,0.0060999999999999995,0.006850000000000001,0.006750000000000001,0.006350000000000001,197.47,198.26,197.77,197.36
31,0.01,0.01,0.0,0.0,0.006149999999999999,0.006900000000000001,0.0068000000000000005,0.0064,199.85,199.86,200.0,200.0
32,0.01,0.01,0.0,0.02,0.0062499999999999995,0.006900000000000001,0.0068000000000000005,0.006500000000000001,199.69,199.7,200.0,197.29
33,0.0,0.0,0.0,0.0,0.00635,0.007000000000000001,0.00685,0.00655,200.0,200.0,200.0,200.0
34,0.01,0.0,0.01,0.01,0.00645,0.007050000000000001,0.00685,0.00655,199.35,200.0,199.78,198.24
35,0.01,0.0,0.02,0.03,0.00645,0.007200000000000001,0.0069,0.00675,199.86,200.0,199.01,196.96
36,0.01,0.01,0.0,0.01,0.00645,0.00725,0.00695,0.0068,198.79,198.43,200.0,199.27
37,0.01,0.02,0.02,0.01,0.00645,0.007350000000000001,0.00705,0.0068,199.31,197.75,198.73,199.9
38,0.0,0.0,0.01,0.02,0.00645,0.007350000000000001,0.0070999999999999995,0.0068,200.0,200.0,199.69,197.85
39,0.0,0.01,0.03,0.0,0.0065,0.007450000000000001,0.0072,0.0068,200.0,198.39,196.18,200.0
40,0.0,0.01,0.02,0.0,0.006699999999999999,0.007700000000000001,0.00735,0.0068,200.0,198.62,198.64,200.0
41,0.0,0.01,0.02,0.0,0.00695,0.007800000000000001,0.00745,0.006849999999999999,200.0,198.67,199.2,200.0
42,0.01,0.0,0.02,0.01,0.00695,0.0079,0.0075,0.00695,199.69,200.0,197.47,199.45
43,0.02,0.02,0.0,0.0,0.00695,0.0079,0.0075,0.006999999999999999,199.16,197.98,200.0,200.0
44,0.01,0.01,0.01,0.0,0.006999999999999999,0.00795,0.007549999999999999,0.0070999999999999995,199.55,199.66,199.85,200.0
45,0.01,0.02,0.02,0.02,0.0072,0.00805,0.00755,0.0071,199.58,199.46,198.01,197.25
46,0.01,0.01,0.01,0.0,0.0072499999999999995,0.0081,0.0076,0.007200000000000001,198.86,199.53,198.68,200.0
47,0.01,0.01,0.02,0.0,0.007299999999999999,0.00815,0.00765,0.007300000000000001,198.38,199.18,197.26,200.0
48,0.01,0.01,0.02,0.0,0.0073999999999999995,0.008199999999999999,0.00775,0.007300000000000001,199.46,199.52,198.75,200.0
49,0.02,0.01,0.01,0.0,0.007549999999999999,0.008249999999999999,0.00775,0.007450000000000001,197.76,198.84,199.97,200.0
50,0.01,0.01,0.02,0.01,0.007599999999999999,0.008249999999999999,0.00775,0.007450000000000001,198.9,198.95,197.69,198.91
51,0.01,0.01,0.01,0.0,0.007649999999999999,0.008249999999999999,0.00775,0.007550000000000001,198.95,198.81,198.79,200.0
52,0.01,0.0,0.02,0.01,0.007649999999999999,0.008299999999999998,0.00775,0.007550000000000001,199.92,200.0,198.39,199.84
53,0.01,0.01,0.02,0.01,0.0076999999999999985,0.008299999999999998,0.0078,0.007700000000000001,199.19,198.44,198.25,198.63
54,0.0,0.0,0.01,0.01,0.0076999999999999985,0.008349999999999998,0.0078,0.007750000000000001,200.0,200.0,199.52,199.94
55,0.02,0.03,0.0,0.0,0.007749999999999998,0.008399999999999998,0.0078,0.007750000000000001,197.36,196.36,200.0,200.0
56,0.03,0.01,0.01,0.01,0.007749999999999998,0.008449999999999997,0.0078,0.007850000000000001,196.39,198.64,199.94,199.79
57,0.0,0.0,0.02,0.02,0.007849999999999998,0.008499999999999997,0.00785,0.007850000000000001,200.0,200.0,198.01,197.85
58,0.01,0.0,0.01,0.0,0.007899999999999997,0.008499999999999997,0.00785,0.007850000000000001,198.66,200.0,199.92,200.0
59,0.01,0.0,0.0,0.02,0.007899999999999997,0.008549999999999997,0.00785,0.008000000000000002,198.96,200.0,200.0,198.67
60,0.03,0.01,0.02,0.01,0.007899999999999997,0.008549999999999997,0.007899999999999999,0.008050000000000002,196.38,198.91,197.87,198.95
61,0.0,0.01,0.01,0.02,0.00795,0.0086,0.0079,0.0081,200.0,199.57,198.23,198.63
62,0.0,0.0,0.01,0.01,0.00795,0.00865,0.0079,0.0081,200.0,200.0,199.18,198.8
63,0.0,0.0,0.01,0.01,0.00795,0.00865,0.0079,0.00815,200.0,200.0,199.43,199.25
64,0.0,0.02,0.01,0.0,0.008100000000000001,0.0087,0.00795,0.00815,200.0,198.97,198.43,200.0
65,0.01,0.0,0.0,0.0,0.0082,0.008799999999999999,0.008,0.00815,199.05,200.0,200.0,200.0
66,0.0,0.01,0.01,0.01,0.0083,0.008849999999999998,0.008,0.008199999999999999,200.0,199.07,199.81,199.7
67,0.05,0.03,0.0,0.01,0.0084,0.009,0.0081,0.008199999999999999,194.73,198.72,200.0,199.82
68,0.02,0.0,0.01,0.01,0.008499999999999999,0.009099999999999999,0.00815,0.008249999999999999,199.39,200.0,199.87,199.4
69,0.02,0.02,0.01,0.01,0.008499999999999999,0.009099999999999999,0.0083,0.0084,199.46,198.7,199.1,199.8
70,0.0,0.01,0.03,0.03,0.00865,0.009099999999999999,0.0083,0.0084,200.0,198.52,197.08,198.73
71,0.03,0.01,0.0,0.03,0.0087,0.009149999999999998,0.00835,0.008499999999999999,197.25,198.53,200.0,198.13
72,0.02,0.01,0.01,0.0,0.008749999999999999,0.009149999999999998,0.00835,0.008549999999999999,197.02,198.46,198.92,200.0
73,0.02,0.02,0.03,0.0,0.008749999999999999,0.009199999999999998,0.00835,0.008599999999999998,198.76,198.81,197.73,200.0
74,0.01,0.0,0.02,0.01,0.008849999999999998,0.009349999999999999,0.0084,0.008599999999999998,198.55,200.0,196.73,199.81
75,0.01,0.04,0.0,0.0,0.008949999999999998,0.009399999999999999,0.0084,0.008699999999999998,199.92,196.8,200.0,200.0
76,0.0,0.02,0.01,0.02,0.008999999999999998,0.00955,0.008499999999999999,0.008799999999999997,200.0,197.17,198.25,197.7
77,0.02,0.0,0.0,0.01,0.0091,0.009550000000000001,0.00855,0.0088,198.17,200.0,200.0,199.57
78,0.01,0.02,0.0,0.0,0.0092,0.00965,0.00855,0.00885,199.48,197.87,200.0,200.0
79,0.01,0.0,0.01,0.02,0.0092,0.00975,0.00855,0.0089,199.99,200.0,199.17,197.67
80,0.0,0.01,0.01,0.02,0.0092,0.0098,0.008700000000000001,0.00895,200.0,198.68,199.83,197.98
81,0.0,0.0,0.03,0.0,0.00925,0.00985,0.00875,0.00895,200.0,200.0,198.2,200.0
82,0.02,0.03,0.01,0.0,0.00925,0.009899999999999999,0.008900000000000002,0.009049999999999999,199.84,199.07,198.4,200.0
83,0.04,0.04,0.01,0.01,0.0093,0.009999999999999998,0.008950000000000001,0.009149999999999998,197.29,197.09,199.62,199.17
84,0.02,0.0,0.01,0.0,0.0093,0.009999999999999998,0.008950000000000001,0.009249999999999998,197.78,200.0,198.85,200.0
85,0.01,0.0,0.02,0.03,0.0093,0.010099999999999998,0.009000000000000001,0.009299999999999998,199.23,200.0,198.76,196.75
86,0.0,0.0,0.03,0.03,0.0093,0.010099999999999998,0.0091,0.009349999999999997,200.0,200.0,197.84,198.05
87,0.01,0.02,0.0,0.02,0.009349999999999999,0.010149999999999998,0.0091,0.009449999999999997,198.88,197.62,200.0,198.4
88,0.01,0.02,0.01,0.01,0.0095,0.010149999999999998,0.0092,0.009499999999999996,199.77,199.29,198.26,199.12
89,0.01,0.0,0.03,0.03,0.0095,0.010249999999999997,0.0092,0.009549999999999996,198.83,200.0,198.41,197.74
90,0.01,0.02,0.01,0.0,0.00955,0.010299999999999997,0.00925,0.009649999999999995,199.65,199.55,199.6,200.0
91,0.02,0.02,0.0,0.01,0.00955,0.010399999999999996,0.00925,0.009749999999999995,198.32,197.83,200.0,198.51
92,0.0,0.01,0.01,0.02,0.0096,0.010399999999999996,0.00925,0.009799999999999994,200.0,198.67,198.52,199.55
93,0.0,0.0,0.0,0.02,0.00965,0.010450000000000001,0.009250000000000001,0.0099,200.0,200.0,200.0,199.04
94,0.0,0.01,0.0,0.03,0.00965,0.01055,0.009300000000000001,0.00995,200.0,200.0,200.0,197.21
95,0.02,0.0,0.01,0.01,0.0097,0.0106,0.009300000000000001,0.00995,198.39,200.0,198.31,198.36
96,0.01,0.02,0.01,0.02,0.00975,0.0106,0.009300000000000001,0.01005,199.55,198.43,198.38,198.19
97,0.0,0.02,0.01,0.03,0.00975,0.0106,0.009300000000000001,0.01005,200.0,198.66,199.91,197.8
98,0.0,0.01,0.0,0.01,0.0098,0.01065,0.00935,0.0101,200.0,199.47,200.0,199.02
99,0.0,0.0,0.0,0.0,0.0098,0.01065,0.00935,0.0101,200.0,200.0,200.0,200.0
100,0.0,0.01,0.01,0.0,0.009899999999999999,0.01075,0.00935,0.0101,200.0,199.68,199.96,200.0
101,0.01,0.03,0.01,0.02,0.009899999999999999,0.010849999999999999,0.00935,0.01015,199.1,197.94,198.43,199.58
102,0.0,0.01,0.02,0.01,0.00975,0.0107,0.009300000000000001,0.010150000000000001,200.0,199.29,197.61,199.36
103,0.0,0.01,0.0,0.0,0.00975,0.010799999999999999,0.009300000000000001,0.010150000000000001,200.0,198.54,200.0,200.0
104,0.0,0.01,0.03,0.0,0.0098,0.010849999999999999,0.009300000000000001,0.010150000000000001,200.0,199.05,197.25,200.0
105,0.0,0.0,0.01,0.0,0.00985,0.01075,0.00935,0.01025,200.0,200.0,198.78,200.0
106,0.02,0.01,0.0,0.01,0.009949999999999999,0.01095,0.00935,0.010400000000000001,199.63,199.57,200.0,199.8
107,0.0,0.0,0.01,0.02,0.01,0.01095,0.0093,0.01035,200.0,200.0,199.53,199.42
108,0.0,0.01,0.02,0.0,0.01,0.011,0.009250000000000001,0.01025,200.0,199.17,197.44,200.0
109,0.02,0.02,0.01,0.02,0.00995,0.01105,0.009300000000000001,0.010350000000000002,198.05,198.06,199.79,198.38
110,0.02,0.02,0.0,0.02,0.009949999999999999,0.01115,0.0094,0.010350000000000002,197.82,199.57,200.0,198.24
111,0.01,0.0,0.01,0.0,0.0101,0.0114,0.009349999999999999,0.01035,199.25,200.0,199.52,200.0
112,0.02,0.01,0.01,0.02,0.010150000000000001,0.01145,0.009449999999999998,0.01035,199.38,199.53,199.62,197.39
113,0.0,0.01,0.01,0.0,0.01015,0.011399999999999999,0.009349999999999999,0.01035,200.0,199.32,199.89,200.0
114,0.02,0.03,0.01,0.01,0.010249999999999999,0.011499999999999998,0.009349999999999999,0.0104,197.52,196.59,199.73,199.11
115,0.0,0.01,0.0,0.0,0.010199999999999999,0.011499999999999998,0.00925,0.010349999999999998,200.0,199.67,200.0,200.0
116,0.0,0.0,0.02,0.0,0.01015,0.011499999999999998,0.00945,0.010299999999999998,200.0,200.0,199.2,200.0
117,0.01,0.01,0.01,0.01,0.01015,0.011499999999999998,0.0094,0.01035,199.45,198.49,199.34,199.25
118,0.0,0.03,0.02,0.0,0.01015,0.01145,0.009450000000000002,0.0103,200.0,196.51,198.95,200.0
119,0.01,0.02,0.01,0.0,0.01015,0.011399999999999999,0.009500000000000001,0.010299999999999998,199.16,198.65,199.1,200.0
120,0.02,0.01,0.01,0.02,0.01015,0.011449999999999998,0.009500000000000001,0.0103,198.72,198.31,199.0,197.89
121,0.02,0.03,0.01,0.01,0.010199999999999999,0.01145,0.00935,0.01045,199.01,197.54,198.41,199.63
122,0.0,0.02,0.0,0.01,0.010249999999999999,0.0114,0.009300000000000001,0.01035,200.0,197.44,200.0,199.75
123,0.02,0.05,0.03,0.01,0.0104,0.0116,0.009200000000000002,0.010350000000000002,199.05,194.97,196.99,199.48
124,0.02,0.01,0.01,0.02,0.01045,0.0117,0.0092,0.010250000000000002,198.43,199.14,198.35,198.96
125,0.01,0.01,0.0,0.02,0.01045,0.0117,0.0092,0.0103,199.79,199.19,200.0,199.63
126,0.01,0.0,0.01,0.0,0.01045,0.0117,0.00915,0.01025,199.39,200.0,199.22,200.0
127,0.0,0.01,0.01,0.0,0.010549999999999999,0.0118,0.009099999999999999,0.010350000000000003,200.0,199.41,199.72,200.0
128,0.03,0.05,0.0,0.01,0.01055,0.011800000000000001,0.009099999999999999,0.010400000000000001,197.67,196.28,200.0,199.95
129,0.01,0.02,0.0,0.03,0.010599999999999998,0.011850000000000001,0.009199999999999998,0.010350000000000002,199.91,199.03,200.0,196.95
130,0.01,0.01,0.01,0.01,0.0106,0.0119,0.00915,0.010250000000000002,198.6,199.32,198.66,199.8
131,0.02,0.0,0.0,0.02,0.010599999999999997,0.012,0.009099999999999999,0.010150000000000001,196.72,200.0,200.0,197.62
132,0.02,0.02,0.01,0.01,0.010649999999999998,0.011950000000000002,0.009099999999999999,0.01015,198.2,197.96,198.54,199.32
133,0.02,0.01,0.0,0.0,0.010699999999999998,0.011950000000000002,0.009199999999999998,0.010100000000000001,199.13,199.24,200.0,200.0
134,0.0,0.03,0.01,0.04,0.010749999999999997,0.012000000000000002,0.009199999999999998,0.0102,200.0,197.25,198.9,195.43
135,0.0,0.01,0.01,0.01,0.010699999999999998,0.01205,0.009199999999999998,0.0102,200.0,199.44,199.42,199.7
136,0.0,0.02,0.02,0.0,0.010649999999999998,0.01205,0.00925,0.010149999999999998,200.0,199.25,199.23,200.0
137,0.0,0.0,0.01,0.0,0.010750000000000001,0.01205,0.009450000000000002,0.010149999999999998,200.0,200.0,198.53,200.0
138,0.01,0.02,0.02,0.0,0.01075,0.012,0.009350000000000002,0.010099999999999998,198.99,198.29,198.25,200.0
139,0.04,0.05,0.03,0.0,0.010799999999999999,0.012049999999999998,0.009300000000000003,0.009999999999999998,197.89,196.4,198.07,200.0
140,0.05,0.02,0.02,0.01,0.0109,0.012,0.009150000000000002,0.010199999999999999,195.82,199.18,198.02,199.08
141,0.0,0.02,0.01,0.02,0.010900000000000002,0.01195,0.009050000000000002,0.010199999999999999,200.0,197.77,198.36,198.47
142,0.0,0.0,0.0,0.01,0.01095,0.01195,0.009000000000000003,0.010199999999999999,200.0,200.0,200.0,199.91
143,0.01,0.01,0.01,0.02,0.01105,0.011999999999999999,0.009000000000000001,0.010300000000000002,198.55,198.92,198.33,197.46
144,0.04,0.02,0.0,0.0,0.01105,0.011999999999999999,0.00905,0.010350000000000003,196.65,198.49,200.0,200.0
145,0.01,0.01,0.01,0.02,0.01105,0.012,0.009,0.010450000000000001,198.55,198.82,199.96,198.31
146,0.01,0.01,0.01,0.02,0.011,0.012050000000000002,0.009,0.010350000000000002,199.15,198.96,198.52,198.28
147,0.02,0.01,0.02,0.0,0.01105,0.012000000000000002,0.009,0.010400000000000001,196.99,198.61,197.92,200.0
148,0.03,0.01,0.0,0.03,0.011150000000000002,0.01205,0.0089,0.0104,197.6,199.14,200.0,198.92
149,0.01,0.0,0.0,0.0,0.01115,0.012049999999999998,0.0089,0.0104,199.05,200.0,200.0,200.0
150,0.01,0.0,0.0,0.02,0.01115,0.012049999999999998,0.008849999999999998,0.0104,198.65,200.0,200.0,198.74
151,0.0,0.01,0.0,0.0,0.0112,0.012049999999999998,0.0089,0.0104,200.0,199.48,200.0,200.0
152,0.01,0.0,0.01,0.03,0.01125,0.01205,0.008900000000000002,0.01045,198.32,200.0,199.93,196.01
153,0.0,0.01,0.0,0.01,0.0112,0.012100000000000001,0.008799999999999999,0.0105,200.0,198.36,200.0,199.63
154,0.01,0.01,0.0,0.0,0.011249999999999998,0.01225,0.0087,0.01045,198.73,199.88,200.0,200.0
155,0.0,0.01,0.0,0.02,0.011349999999999997,0.0123,0.0087,0.01045,200.0,199.34,200.0,198.88
156,0.02,0.01,0.01,0.0,0.011299999999999998,0.01215,0.0087,0.01045,198.24,199.01,199.58,200.0
157,0.01,0.0,0.0,0.0,0.011199999999999998,0.012150000000000001,0.00875,0.01045,199.81,200.0,200.0,200.0
158,0.0,0.01,0.0,0.03,0.011349999999999999,0.0122,0.008650000000000001,0.0104,200.0,198.31,200.0,197.85
159,0.0,0.0,0.01,0.01,0.0113,0.01225,0.0087,0.01055,200.0,200.0,198.29,198.76
160,0.01,0.01,0.0,0.01,0.011400000000000002,0.01235,0.0087,0.0105,198.89,198.92,200.0,198.3
161,0.0,0.01,0.0,0.0,0.011300000000000001,0.01235,0.008699999999999998,0.010700000000000001,200.0,199.15,200.0,200.0
162,0.0,0.0,0.0,0.01,0.0114,0.0125,0.00865,0.0106,200.0,200.0,200.0,199.99
163,0.03,0.01,0.01,0.0,0.011500000000000002,0.012549999999999999,0.0087,0.0106,197.23,198.52,198.66,200.0
164,0.02,0.02,0.01,0.0,0.011550000000000001,0.01255,0.008749999999999997,0.0106,199.18,199.02,198.42,200.0
165,0.02,0.01,0.0,0.01,0.011600000000000001,0.012450000000000001,0.008749999999999999,0.010600000000000002,199.33,198.53,200.0,199.18
166,0.02,0.03,0.02,0.0,0.0116,0.012450000000000001,0.008749999999999999,0.010650000000000001,197.48,196.54,198.2,200.0
167,0.02,0.02,0.01,0.01,0.011649999999999999,0.012550000000000002,0.008749999999999999,0.010650000000000001,199.11,199.35,198.74,198.6
168,0.0,0.0,0.03,0.03,0.011399999999999999,0.012400000000000003,0.008799999999999997,0.010600000000000002,200.0,200.0,197.43,195.83
169,0.03,0.0,0.0,0.0,0.011449999999999998,0.012550000000000004,0.008749999999999999,0.0106,198.03,200.0,200.0,200.0
170,0.01,0.01,0.01,0.02,0.011449999999999998,0.012550000000000002,0.008749999999999997,0.010549999999999999,199.78,199.83,199.04,199.01
171,0.01,0.0,0.0,0.01,0.0115,0.012550000000000002,0.0087,0.010499999999999999,199.05,200.0,200.0,199.77
172,0.0,0.01,0.0,0.01,0.011349999999999999,0.012550000000000002,0.008749999999999999,0.0105,200.0,198.95,200.0,199.96
173,0.02,0.03,0.01,0.0,0.011250000000000001,0.012550000000000002,0.0087,0.0105,199.46,196.72,199.64,200.0
174,0.02,0.01,0.0,0.02,0.011250000000000001,0.012450000000000001,0.008549999999999999,0.01055,198.98,199.89,200.0,197.79
175,0.01,0.03,0.02,0.02,0.011300000000000001,0.01245,0.008549999999999999,0.0105,199.44,196.39,199.1,197.92
176,0.02,0.0,0.01,0.0,0.011500000000000002,0.01235,0.008549999999999999,0.0106,197.54,200.0,198.86,200.0
177,0.02,0.02,0.0,0.01,0.011549999999999998,0.012299999999999998,0.008499999999999999,0.01055,198.55,198.66,200.0,198.73
178,0.0,0.02,0.0,0.01,0.011649999999999999,0.01245,0.008499999999999999,0.0105,200.0,197.66,200.0,198.72
179,0.0,0.01,0.03,0.01,0.011750000000000002,0.0124,0.008549999999999999,0.010550000000000002,200.0,198.52,197.23,199.6
180,0.01,0.01,0.01,0.0,0.011800000000000001,0.01245,0.008650000000000001,0.01045,198.91,198.72,199.91,200.0
181,0.0,0.01,0.03,0.02,0.011800000000000001,0.01245,0.00865,0.01045,200.0,199.62,197.66,198.67
182,0.01,0.02,0.01,0.02,0.011800000000000001,0.01245,0.00855,0.01045,198.63,197.6,198.84,198.95
183,0.0,0.0,0.0,0.02,0.011700000000000002,0.0123,0.00855,0.01045,200.0,200.0,200.0,199.49
184,0.0,0.02,0.01,0.01,0.011550000000000003,0.012100000000000001,0.00855,0.0104,200.0,197.18,198.33,199.77
185,0.0,0.0,0.02,0.01,0.011500000000000002,0.012100000000000001,0.008499999999999999,0.010400000000000001,200.0,200.0,198.23,198.71
186,0.01,0.01,0.0,0.02,0.01145,0.012150000000000001,0.008499999999999999,0.01035,199.83,199.48,200.0,198.99
187,0.03,0.0,0.02,0.01,0.011600000000000001,0.0122,0.00835,0.0102,196.74,200.0,199.28,199.93
188,0.0,0.02,0.0,0.01,0.011550000000000001,0.012100000000000001,0.008449999999999997,0.0102,200.0,198.54,200.0,199.3
189,0.01,0.01,0.01,0.02,0.0117,0.01205,0.008399999999999998,0.010199999999999999,198.72,198.72,199.06,198.19
190,0.0,0.02,0.0,0.02,0.011700000000000002,0.0122,0.008249999999999999,0.0101,200.0,199.16,200.0,199.04
191,0.01,0.0,0.0,0.01,0.01175,0.0122,0.008249999999999999,0.01015,199.6,200.0,200.0,199.96
192,0.01,0.01,0.0,0.02,0.01165,0.0122,0.0084,0.010199999999999999,198.68,199.73,200.0,197.71
193,0.0,0.02,0.01,0.01,0.0119,0.01215,0.0084,0.0101,200.0,198.79,199.02,199.99
194,0.01,0.01,0.0,0.0,0.0119,0.0122,0.008499999999999999,0.010150000000000001,199.49,198.77,200.0,200.0
195,0.01,0.0,0.0,0.02,0.012,0.0122,0.008499999999999999,0.01005,198.49,200.0,200.0,199.58
196,0.0,0.0,0.0,0.0,0.01195,0.01225,0.008549999999999999,0.01005,200.0,200.0,200.0,200.0
197,0.01,0.01,0.01,0.01,0.01195,0.012249999999999999,0.00855,0.00995,198.32,199.88,198.54,198.73
198,0.0,0.0,0.0,0.0,0.011949999999999999,0.012149999999999998,0.008599999999999998,0.009800000000000001,200.0,200.0,200.0,200.0
199,0.02,0.02,0.0,0.0,0.01205,0.012149999999999998,0.00865,0.009750000000000002,198.93,198.26,200.0,200.0
200,0.0,0.02,0.0,0.01,0.0121,0.012199999999999999,0.008699999999999998,0.009800000000000001,200.0,198.81,200.0,199.87
201,0.0,0.0,0.0,0.01,0.0121,0.01215,0.008649999999999998,0.009800000000000001,200.0,200.0,200.0,199.88
202,0.0,0.02,0.0,0.0,0.01215,0.01205,0.008599999999999998,0.0098,200.0,198.2,200.0,200.0
203,0.01,0.01,0.0,0.0,0.0123,0.01215,0.008599999999999998,0.009749999999999998,199.08,199.08,200.0,200.0
204,0.03,0.0,0.01,0.02,0.0123,0.0121,0.008699999999999998,0.00975,198.95,200.0,198.89,196.93
205,0.02,0.04,0.0,0.03,0.0124,0.01205,0.008599999999999998,0.0098,199.14,196.81,200.0,196.78
206,0.01,0.0,0.01,0.01,0.01255,0.01215,0.008599999999999998,0.0098,198.25,200.0,198.7,200.0
207,0.01,0.02,0.0,0.0,0.01255,0.01215,0.008749999999999999,0.00975,198.38,197.75,200.0,200.0
208,0.01,0.02,0.01,0.02,0.012700000000000001,0.0122,0.0087,0.0097,199.51,198.45,199.64,197.52
209,0.01,0.02,0.02,0.01,0.012850000000000004,0.012300000000000002,0.0086,0.00975,198.65,197.47,198.78,199.53
210,0.03,0.05,0.0,0.01,0.012800000000000004,0.012250000000000002,0.008549999999999999,0.00965,199.01,196.56,200.0,199.45
211,0.01,0.01,0.02,0.0,0.012750000000000001,0.012199999999999999,0.0086,0.0096,198.52,199.94,197.43,200.0
212,0.01,0.01,0.01,0.01,0.012750000000000001,0.012199999999999999,0.0086,0.009699999999999999,199.94,199.25,199.65,198.96
213,0.02,0.02,0.0,0.02,0.012650000000000003,0.012249999999999999,0.0086,0.009649999999999999,199.1,198.8,200.0,198.62
