case,snapshot_type,snapshot_label,distance,mean_value,count
det_sparse,fixed_episode,0,0,0.0,100
det_sparse,fixed_episode,0,1,0.0,100
det_sparse,fixed_episode,0,2,0.0,100
det_sparse,fixed_episode,0,3,0.0,100
det_sparse,fixed_episode,0,4,0.0,100
det_sparse,fixed_episode,0,5,0.0,100
det_sparse,fixed_episode,0,6,0.0,100
det_sparse,fixed_episode,0,7,0.0,100
det_sparse,fixed_episode,0,8,0.0,100
det_sparse,fixed_episode,0,9,0.0,100
det_sparse,fixed_episode,0,10,0.0,100
det_sparse,fixed_episode,0,11,0.0,100
det_sparse,fixed_episode,0,12,0.0,100
det_sparse,fixed_episode,0,13,0.0,100
det_sparse,fixed_episode,0,14,0.0,100
det_sparse,fixed_episode,100,0,0.0,100
det_sparse,fixed_episode,100,1,0.044977550000000005,100
det_sparse,fixed_episode,100,2,0.005252225165550001,100
det_sparse,fixed_episode,100,3,0.0007439445036201486,100
det_sparse,fixed_episode,100,4,0.0003124803060457237,100
det_sparse,fixed_episode,100,5,0.0001146603082546348,100
det_sparse,fixed_episode,100,6,5.025969714479194e-05,100
det_sparse,fixed_episode,100,7,2.2336302526514085e-05,100
det_sparse,fixed_episode,100,8,9.105040068376402e-06,100
det_sparse,fixed_episode,100,9,4.690971610124581e-06,100
det_sparse,fixed_episode,100,10,2.319580047658815e-06,100
det_sparse,fixed_episode,100,11,1.8148710143232249e-06,100
det_sparse,fixed_episode,100,12,1.6374240664158473e-06,100
det_sparse,fixed_episode,100,13,1.8062465721878072e-06,100
det_sparse,fixed_episode,100,14,2.144196069658002e-06,100
det_sparse,fixed_episode,500,0,0.0,100
det_sparse,fixed_episode,500,1,0.2501162623001877,100
det_sparse,fixed_episode,500,2,0.13678949546235986,100
det_sparse,fixed_episode,500,3,0.06829846226592833,100
det_sparse,fixed_episode,500,4,0.09256184066449065,100
det_sparse,fixed_episode,500,5,0.07410463523426453,100
det_sparse,fixed_episode,500,6,0.06607105604711029,100
det_sparse,fixed_episode,500,7,0.07165267480914984,100
det_sparse,fixed_episode,500,8,0.06521450290041507,100
det_sparse,fixed_episode,500,9,0.06198869126583509,100
det_sparse,fixed_episode,500,10,0.06312534776930369,100
det_sparse,fixed_episode,500,11,0.06275138037222504,100
det_sparse,fixed_episode,500,12,0.06473259622977429,100
det_sparse,fixed_episode,500,13,0.06834633746800954,100
det_sparse,fixed_episode,500,14,0.07387307389858017,100
det_sparse,fixed_episode,1000,0,0.0,100
det_sparse,fixed_episode,1000,1,0.45403541331531205,100
det_sparse,fixed_episode,1000,2,0.37773693823242765,100
det_sparse,fixed_episode,1000,3,0.2586611981797837,100
det_sparse,fixed_episode,1000,4,0.4693086004767432,100
det_sparse,fixed_episode,1000,5,0.44268178042828704,100
det_sparse,fixed_episode,1000,6,0.4053847467330556,100
det_sparse,fixed_episode,1000,7,0.4475268795655637,100
det_sparse,fixed_episode,1000,8,0.43528817306437506,100
det_sparse,fixed_episode,1000,9,0.4222072181086745,100
det_sparse,fixed_episode,1000,10,0.46057593677753617,100
det_sparse,fixed_episode,1000,11,0.46778997404347095,100
det_sparse,fixed_episode,1000,12,0.48680505307871735,100
det_sparse,fixed_episode,1000,13,0.4976915427901272,100
det_sparse,fixed_episode,1000,14,0.5096985497704056,100
det_sparse,fixed_episode,3000,0,0.0,100
det_sparse,fixed_episode,3000,1,0.5987942104074881,100
det_sparse,fixed_episode,3000,2,0.5772982854851604,100
det_sparse,fixed_episode,3000,3,0.6046853460098689,100
det_sparse,fixed_episode,3000,4,0.9470877802727621,100
det_sparse,fixed_episode,3000,5,0.9378502870808298,100
det_sparse,fixed_episode,3000,6,0.8760388503205552,100
det_sparse,fixed_episode,3000,7,0.8066619967138104,100
det_sparse,fixed_episode,3000,8,0.779860727341428,100
det_sparse,fixed_episode,3000,9,0.7930317123606275,100
det_sparse,fixed_episode,3000,10,0.8662879587539902,100
det_sparse,fixed_episode,3000,11,0.8715359975893308,100
det_sparse,fixed_episode,3000,12,0.8679315794398461,100
det_sparse,fixed_episode,3000,13,0.8655635158188432,100
det_sparse,fixed_episode,3000,14,0.8644990565464531,100
det_sparse,fixed_episode,10000,0,0.0,100
det_sparse,fixed_episode,10000,1,0.770887923042789,100
det_sparse,fixed_episode,10000,2,0.9114152171161316,100
det_sparse,fixed_episode,10000,3,0.7817685400025335,100
det_sparse,fixed_episode,10000,4,0.9600006745863832,100
det_sparse,fixed_episode,10000,5,0.9519240601879152,100
det_sparse,fixed_episode,10000,6,0.9388055156756037,100
det_sparse,fixed_episode,10000,7,0.9067584591557297,100
det_sparse,fixed_episode,10000,8,0.8339851035729537,100
det_sparse,fixed_episode,10000,9,0.8324980222755243,100
det_sparse,fixed_episode,10000,10,0.8879143936963317,100
det_sparse,fixed_episode,10000,11,0.8834908033833916,100
det_sparse,fixed_episode,10000,12,0.8788128588437589,100
det_sparse,fixed_episode,10000,13,0.8769329252383108,100
det_sparse,fixed_episode,10000,14,0.8771952810531752,100
det_sparse,fixed_episode,30000,0,0.0,100
det_sparse,fixed_episode,30000,1,0.7785509513793183,100
det_sparse,fixed_episode,30000,2,0.9191810091881365,100
det_sparse,fixed_episode,30000,3,0.7912796529473584,100
det_sparse,fixed_episode,30000,4,0.9635700727055972,100
det_sparse,fixed_episode,30000,5,0.9555817988524387,100
det_sparse,fixed_episode,30000,6,0.9443898318944229,100
det_sparse,fixed_episode,30000,7,0.9119337648498709,100
det_sparse,fixed_episode,30000,8,0.8383061976690522,100
det_sparse,fixed_episode,30000,9,0.8365200921239808,100
det_sparse,fixed_episode,30000,10,0.8962117705265488,100
det_sparse,fixed_episode,30000,11,0.8914276036644835,100
det_sparse,fixed_episode,30000,12,0.884396177713554,100
det_sparse,fixed_episode,30000,13,0.8783386820641536,100
det_sparse,fixed_episode,30000,14,0.8775210229989614,100
det_sparse,event_based,first_success,0,0.0,100
det_sparse,event_based,first_success,1,0.05,100
det_sparse,event_based,first_success,2,0.0,100
det_sparse,event_based,first_success,3,0.0,100
det_sparse,event_based,first_success,4,0.0,100
det_sparse,event_based,first_success,5,0.0,100
det_sparse,event_based,first_success,6,0.0,100
det_sparse,event_based,first_success,7,0.0,100
det_sparse,event_based,first_success,8,0.0,100
det_sparse,event_based,first_success,9,0.0,100
det_sparse,event_based,first_success,10,0.0,100
det_sparse,event_based,first_success,11,0.0,100
det_sparse,event_based,first_success,12,0.0,100
det_sparse,event_based,first_success,13,0.0,100
det_sparse,event_based,first_success,14,0.0,100
det_sparse,event_based,first_success_plus_50,0,0.0,100
det_sparse,event_based,first_success_plus_50,1,0.0725645,100
det_sparse,event_based,first_success_plus_50,2,0.00845982571005,100
det_sparse,event_based,first_success_plus_50,3,0.000992935224822285,100
det_sparse,event_based,first_success_plus_50,4,0.00032442672534282796,100
det_sparse,event_based,first_success_plus_50,5,9.470278519003575e-05,100
det_sparse,event_based,first_success_plus_50,6,3.8847969392487997e-05,100
det_sparse,event_based,first_success_plus_50,7,1.601418352400074e-05,100
det_sparse,event_based,first_success_plus_50,8,6.265946987172501e-06,100
det_sparse,event_based,first_success_plus_50,9,2.7022057811602593e-06,100
det_sparse,event_based,first_success_plus_50,10,1.0225490243311061e-06,100
det_sparse,event_based,first_success_plus_50,11,6.497410760369392e-07,100
det_sparse,event_based,first_success_plus_50,12,4.85193774466165e-07,100
det_sparse,event_based,first_success_plus_50,13,5.408968799693697e-07,100
