variant,case,seed,is_slippery,dense_reward,first_success_episode,first_success_total_steps,resuccess_gap_episodes,post50_success_rate,post100_success_rate
holes_respawn_to_start,det_sparse,0,0,0,269,53713,9,0.02,0.01
holes_respawn_to_start,det_sparse,1,0,0,32,6369,122,0.0,0.0
holes_respawn_to_start,det_sparse,2,0,0,231,46090,15,0.04,0.02
holes_respawn_to_start,det_sparse,3,0,0,110,21958,66,0.0,0.02
holes_respawn_to_start,det_sparse,4,0,0,194,38749,57,0.0,0.02
holes_respawn_to_start,det_sparse,5,0,0,316,63120,30,0.02,0.01
holes_respawn_to_start,det_sparse,6,0,0,175,34944,82,0.0,0.01
holes_respawn_to_start,det_sparse,7,0,0,28,5537,49,0.02,0.01
holes_respawn_to_start,det_sparse,8,0,0,143,28455,106,0.0,0.0
holes_respawn_to_start,det_sparse,9,0,0,110,21824,35,0.02,0.01
holes_respawn_to_start,det_sparse,10,0,0,129,25791,10,0.02,0.02
holes_respawn_to_start,det_sparse,11,0,0,536,107134,31,0.02,0.03
holes_respawn_to_start,det_sparse,12,0,0,23,4488,89,0.0,0.01
holes_respawn_to_start,det_sparse,13,0,0,170,33978,164,0.0,0.0
holes_respawn_to_start,det_sparse,14,0,0,278,55554,94,0.0,0.01
holes_respawn_to_start,det_sparse,15,0,0,96,19155,109,0.0,0.0
holes_respawn_to_start,det_sparse,16,0,0,37,7331,237,0.0,0.0
holes_respawn_to_start,det_sparse,17,0,0,56,11058,27,0.02,0.01
holes_respawn_to_start,det_sparse,18,0,0,77,15315,1,0.02,0.02
holes_respawn_to_start,det_sparse,19,0,0,49,9714,11,0.04,0.02
holes_respawn_to_start,det_sparse,20,0,0,17,3368,187,0.0,0.0
holes_respawn_to_start,det_sparse,21,0,0,51,10095,20,0.02,0.02
holes_respawn_to_start,det_sparse,22,0,0,43,8595,97,0.0,0.01
holes_respawn_to_start,det_sparse,23,0,0,106,21195,71,0.0,0.02
holes_respawn_to_start,det_sparse,24,0,0,307,61280,16,0.04,0.02
holes_respawn_to_start,det_sparse,25,0,0,56,11084,177,0.0,0.0
holes_respawn_to_start,det_sparse,26,0,0,58,11466,137,0.0,0.0
holes_respawn_to_start,det_sparse,27,0,0,1,131,7,0.04,0.04
holes_respawn_to_start,det_sparse,28,0,0,148,29550,182,0.0,0.0
holes_respawn_to_start,det_sparse,29,0,0,68,13551,140,0.0,0.0
holes_respawn_to_start,det_sparse,30,0,0,27,5334,42,0.02,0.01
holes_respawn_to_start,det_sparse,31,0,0,117,23345,32,0.02,0.01
holes_respawn_to_start,det_sparse,32,0,0,131,26032,2,0.06,0.04
holes_respawn_to_start,det_sparse,33,0,0,95,18946,92,0.0,0.01
holes_respawn_to_start,det_sparse,34,0,0,128,25548,43,0.02,0.01
holes_respawn_to_start,det_sparse,35,0,0,125,24979,148,0.0,0.0
holes_respawn_to_start,det_sparse,36,0,0,49,9662,42,0.02,0.01
holes_respawn_to_start,det_sparse,37,0,0,8,1530,26,0.02,0.02
holes_respawn_to_start,det_sparse,38,0,0,186,37183,225,0.0,0.0
holes_respawn_to_start,det_sparse,39,0,0,9,1700,156,0.0,0.0
holes_respawn_to_start,det_sparse,40,0,0,73,14588,39,0.02,0.01
holes_respawn_to_start,det_sparse,41,0,0,4,711,170,0.0,0.0
holes_respawn_to_start,det_sparse,42,0,0,35,6986,24,0.02,0.02
