reward_case,slip_case,slip_enabled,slip_prob,seed,gamma,first_success_episode,final100_success_rate,final100_mean_episode_length,final100_mean_total_reward,final100_mean_base_total_reward,final100_mean_illegal_actions,final100_mean_illegal_pickups,final100_mean_illegal_dropoffs,final100_mean_slipped_actions,final100_mean_pickup_step,final100_mean_dropoff_after_pickup_steps
original,no_slip,False,0.2,3,0.99,0,1.0,28.44,-10.77,-10.77,0.37,0.19,0.18,0.0,20.46,7.98
original,no_slip,False,0.2,4,0.99,14,1.0,27.55,-10.06,-10.06,0.39,0.23,0.16,0.0,19.56,7.99
original,no_slip,False,0.2,8,0.99,25,1.0,30.28,-14.5,-14.5,0.58,0.29,0.29,0.0,22.18,8.1
original,no_slip,False,0.2,6,0.99,1,1.0,27.46,-10.87,-10.87,0.49,0.26,0.23,0.0,19.69,7.77
original,no_slip,False,0.2,7,0.99,3,1.0,29.23,-13.0,-13.0,0.53,0.27,0.26,0.0,21.13,8.1
original,no_slip,False,0.2,1,0.99,7,1.0,30.29,-13.07,-13.07,0.42,0.19,0.23,0.0,22.03,8.26
original,no_slip,False,0.2,2,0.99,62,1.0,26.46,-10.23,-10.23,0.53,0.24,0.29,0.0,18.3,8.16
original,no_slip,False,0.2,5,0.99,50,1.0,28.69,-11.47,-11.47,0.42,0.16,0.26,0.0,20.72,7.97
original,no_slip,False,0.2,9,0.99,42,1.0,27.88,-9.94,-9.94,0.34,0.18,0.16,0.0,19.83,8.05
original,no_slip,False,0.2,0,0.99,10,1.0,29.95,-12.19,-12.19,0.36,0.2,0.16,0.0,22.09,7.86
original,no_slip,False,0.2,10,0.99,19,1.0,30.46,-14.14,-14.14,0.52,0.28,0.24,0.0,22.28,8.18
original,no_slip,False,0.2,18,0.99,2,1.0,31.03,-13.54,-13.54,0.39,0.2,0.19,0.0,23.28,7.75
original,no_slip,False,0.2,13,0.99,41,1.0,28.81,-11.68,-11.68,0.43,0.26,0.17,0.0,20.94,7.87
original,no_slip,False,0.2,12,0.99,48,1.0,28.41,-10.92,-10.92,0.39,0.15,0.24,0.0,20.5,7.91
original,no_slip,False,0.2,11,0.99,11,1.0,29.22,-13.17,-13.17,0.55,0.26,0.29,0.0,21.17,8.05
original,no_slip,False,0.2,17,0.99,5,1.0,26.57,-10.61,-10.61,0.56,0.27,0.29,0.0,18.52,8.05
original,no_slip,False,0.2,20,0.99,24,1.0,27.35,-10.22,-10.22,0.43,0.19,0.24,0.0,19.55,7.8
original,no_slip,False,0.2,14,0.99,14,1.0,25.97,-8.12,-8.12,0.35,0.18,0.17,0.0,18.12,7.85
original,no_slip,False,0.2,21,0.99,5,1.0,27.21,-10.17,-10.17,0.44,0.17,0.27,0.0,19.23,7.98
original,no_slip,False,0.2,16,0.99,10,1.0,32.74,-17.23,-17.23,0.61,0.38,0.23,0.0,24.76,7.98
original,no_slip,False,0.2,15,0.99,50,1.0,29.36,-12.86,-12.86,0.5,0.26,0.24,0.0,21.37,7.99
original,no_slip,False,0.2,19,0.99,3,1.0,31.41,-13.74,-13.74,0.37,0.19,0.18,0.0,23.21,8.2
original,no_slip,False,0.2,24,0.99,43,1.0,27.43,-10.57,-10.57,0.46,0.3,0.16,0.0,19.24,8.19
original,no_slip,False,0.2,23,0.99,47,1.0,28.61,-11.39,-11.39,0.42,0.22,0.2,0.0,20.64,7.97
original,no_slip,False,0.2,26,0.99,1,1.0,28.92,-11.79,-11.79,0.43,0.2,0.23,0.0,21.09,7.83
original,no_slip,False,0.2,22,0.99,13,1.0,28.57,-11.53,-11.53,0.44,0.25,0.19,0.0,20.73,7.84
original,no_slip,False,0.2,28,0.99,28,1.0,28.88,-11.66,-11.66,0.42,0.24,0.18,0.0,21.0,7.88
original,no_slip,False,0.2,27,0.99,1,1.0,27.04,-10.9,-10.9,0.54,0.21,0.33,0.0,19.08,7.96
original,no_slip,False,0.2,25,0.99,54,1.0,30.24,-14.55,-14.55,0.59,0.34,0.25,0.0,22.47,7.77
original,no_slip,False,0.2,31,0.99,1,1.0,27.3,-10.53,-10.53,0.47,0.33,0.14,0.0,19.19,8.11
original,no_slip,False,0.2,32,0.99,15,1.0,28.57,-11.53,-11.53,0.44,0.23,0.21,0.0,20.65,7.92
original,no_slip,False,0.2,30,0.99,37,1.0,24.68,-6.38,-6.38,0.3,0.18,0.12,0.0,16.7,7.98
original,no_slip,False,0.2,29,0.99,2,1.0,29.29,-13.15,-13.15,0.54,0.3,0.24,0.0,21.08,8.21
original,no_slip,False,0.2,33,0.99,32,1.0,30.47,-14.87,-14.87,0.6,0.27,0.33,0.0,22.2,8.27
original,no_slip,False,0.2,35,0.99,80,1.0,28.63,-12.94,-12.94,0.59,0.22,0.37,0.0,20.67,7.96
original,no_slip,False,0.2,34,0.99,1,1.0,30.07,-13.48,-13.48,0.49,0.19,0.3,0.0,21.89,8.18
