variant,case,n_seeds,success_seed_count,success_seed_rate,shortest_safe_path_length,first_success_episode_mean,first_success_episode_median,first_success_total_steps_mean,first_success_path_length_mean,first_success_hole_respawns_mean,first_success_efficiency_ratio_mean,resuccess_gap_mean,resuccess_path_length_mean,resuccess_hole_respawns_mean,resuccess_efficiency_ratio_mean,post50_success_rate_mean,post100_success_rate_mean,mean_success_episode_count,mean_success_path_length_mean,mean_success_hole_respawns_mean,mean_success_efficiency_ratio_mean,final_success_rate,final_success_rate_ma,last100_success_rate_mean,final_avg_episode_length,last100_avg_episode_length_mean
holes_respawn_to_start,det_sparse,100,100,1.0,14.0,113.51,78.0,22623.2,121.2,2.52,8.657142857142857,90.68,119.19,2.53,8.51357142857143,0.0102,0.0109,24553.64,31.660615308050232,0.7031385450836276,2.261472522003588,1.0,0.505,1.0,15.76,15.620500000000002
holes_respawn_to_start,det_dense,100,100,1.0,14.0,101.94,82.0,20304.52,116.52,2.32,8.322857142857144,86.7,124.23,2.31,8.873571428571429,0.009000000000000001,0.0113,24528.92,31.577604382926555,0.6936210750063122,2.255543170209039,1.0,0.505,1.0,15.83,15.6101
holes_respawn_to_start,stoch_sparse,100,100,1.0,14.0,100.85,63.0,20082.46,112.46,2.09,8.032857142857143,104.7,116.85,2.33,8.346428571428572,0.0094,0.009600000000000001,10485.73,108.02389162055012,1.3461230244114037,7.715992258610723,0.54,0.3029,0.6,151.32,143.764
holes_respawn_to_start,stoch_dense,100,100,1.0,14.0,105.66,84.0,21050.16,118.16,2.51,8.440000000000001,97.33,115.82,2.42,8.272857142857143,0.009600000000000001,0.0105,9575.09,110.02297445150309,1.4538848134632067,7.858783889393079,0.58,0.27674999999999994,0.5486000000000001,140.89,149.40689999999998
holeless_control,det_sparse,100,100,1.0,14.0,2.85,2.0,486.98,116.98,0.0,8.355714285714285,2.68,121.26,0.0,8.661428571428573,0.39520000000000005,0.4085000000000001,29203.08,29.07499640621493,0.0,2.076785457586781,1.0,0.505,1.0,14.76,14.724699999999999
holeless_control,det_dense,100,100,1.0,14.0,2.83,2.0,484.93,118.93,0.0,8.495000000000001,2.77,119.57,0.0,8.540714285714285,0.39840000000000003,0.41080000000000005,29203.86,29.077118942091378,0.0,2.0769370672922416,1.0,0.505,1.0,14.7,14.707399999999998
holeless_control,stoch_sparse,100,100,1.0,14.0,2.3,2.0,378.09,118.09,0.0,8.435,2.67,116.26,0.0,8.304285714285715,0.4034,0.40329999999999994,27026.33,64.9412381559216,0.0,4.638659868280114,1.0,0.50495,0.9999000000000001,47.55,46.813599999999994
holeless_control,stoch_dense,100,100,1.0,14.0,2.25,2.0,368.11,118.11,0.0,8.436428571428571,2.67,115.38,0.0,8.241428571428571,0.39880000000000004,0.40069999999999995,27023.08,64.97052252163853,0.0,4.640751608688465,1.0,0.505,1.0,48.96,47.108999999999995
original_holes_terminal,det_sparse,100,100,1.0,14.0,544.62,383.5,17507.74,61.99,0.0,4.4278571428571425,320.38,59.99,0.0,4.285,0.0022,0.0029000000000000002,16843.41,16.998288120913998,0.0,1.2141634372081427,0.93,0.45830000000000004,0.9078000000000002,14.11,14.2451
original_holes_terminal,det_dense,100,100,1.0,14.0,365.68,312.0,12339.01,60.5,0.0,4.321428571428572,360.95,62.88,0.0,4.491428571428572,0.0024,0.0019,16966.58,17.030637271100247,0.0,1.2164740907928746,0.87,0.46415000000000006,0.919,13.93,14.291000000000002
original_holes_terminal,stoch_sparse,100,100,1.0,14.0,506.41,368.5,16241.31,54.87,0.0,3.919285714285714,480.23,58.23,0.0,4.159285714285715,0.0006,0.001,9163.85,85.2290196472397,0.0,6.087787117659978,0.65,0.2936499999999999,0.5821999999999999,89.48,86.05140000000002
original_holes_terminal,stoch_dense,100,100,1.0,14.0,436.0,326.0,14283.89,56.44,0.0,4.031428571428571,506.12,60.94,0.0,4.352857142857143,0.0006,0.0013999999999999998,9315.01,88.68558538795294,0.0,6.334684670568067,0.65,0.30389999999999995,0.6012000000000001,95.25,92.19619999999999
